,Comp,File,Line,Spkr,StTime,Content,EnTime,inv
204.6,DCA,DCA_se1_ag1_m_02_1,1712,DCA_se1_ag1_m_02,1578.6439,"If it be raining, she let us play games in there.",1581.339,1
12.511,DCA,DCA_se1_ag1_m_02_2,33,DCA_se1_ag1_m_02,41.8843,if it be her birthday coming up,43.5396,1
46.113,DCA,DCA_se1_ag1_m_03_1,298,DCA_se1_ag1_m_03,318.9984,[Like if] both of my hands be back there,320.9209,1
60.57,DCA,DCA_se1_ag1_m_03_1,520,DCA_se1_ag1_m_03,559.8801,because there's a lot of boys be on the porches.,562.6732,1
60.65,DCA,DCA_se1_ag1_m_03_1,528,DCA_se1_ag1_m_03,572.8406,"Then you call it cause most of them, they be trying to-",575.1534,1
60.67,DCA,DCA_se1_ag1_m_03_1,530,DCA_se1_ag1_m_03,575.4752,"my brothers, they be trying to sneak all the way around,",578.3557,1
78.515,DCA,DCA_se1_ag1_m_03_1,662,DCA_se1_ag1_m_03,710.4956,but I be out working.,711.7592,1
102.231,DCA,DCA_se1_ag1_m_03_1,827,DCA_se1_ag1_m_03,881.4519,Or he be replacing it.,883.162,1
102.31,DCA,DCA_se1_ag1_m_03_1,835,DCA_se1_ag1_m_03,892.5053,Then so they be going to airport. Then he tells-,894.705,1
108.309,DCA,DCA_se1_ag1_m_03_1,1293,DCA_se1_ag1_m_03,1313.1721,He be going /Jack/.,1314.1921,1
170.114,DCA,DCA_se1_ag1_m_04_1,375,DCA_se1_ag1_m_04,543.1701,"See sometime, the children, th- they be bothering you while you try and do your work.",546.6066,1
172.314,DCA,DCA_se1_ag1_m_04_1,383,DCA_se1_ag1_m_04,555.0209,They keep talking and sometime when they be talking I might talk back to 'em.,558.4155,1
172.513,DCA,DCA_se1_ag1_m_04_1,385,DCA_se1_ag1_m_04,558.764,"Sometime I don't. I be doing my work, and she'll think it's me.",561.5245,1
194.33,DCA,DCA_se1_ag1_m_04_1,445,DCA_se1_ag1_m_04,650.0463,"Miss /RD-NAME-3/, before we getting ready to go- she- she be sha-",653.2777,1
304.311,DCA,DCA_se1_ag1_m_04_1,746,DCA_se1_ag1_m_04,1108.5316,"I- By the time I get- be finished tryna spend it all, I probably be gone by now.",1112.48,1
356.11,DCA,DCA_se1_ag1_m_04_1,873,DCA_se1_ag1_m_04,1303.9484,to a trip. You got be dressed up. I think it's a restaurant.,1306.942,1
416.111,DCA,DCA_se1_ag1_m_04_1,1020,DCA_se1_ag1_m_04,1505.1098,"Yes, they always be fights.",1506.4761,1
456.5,DCA,DCA_se1_ag1_m_04_1,1155,DCA_se1_ag1_m_04,1704.7184,"gangs be fighting, they always say",1706.3224,1
456.9,DCA,DCA_se1_ag1_m_04_1,1159,DCA_se1_ag1_m_04,1708.5268,you be fighting somebody else.,1709.8604,1
20.514,DCA,DCA_se1_ag1_m_05_1,74,DCA_se1_ag1_m_05,107.2974,"the other um children, they be behind, she be in front of 'em.",110.654,1
156.138,DCA,DCA_se1_ag1_m_05_1,405,DCA_se1_ag1_m_05,596.5636,"they- and a man, the small man, who be a chef who know Karate,",601.0014,1
168.1101,DCA,DCA_se1_ag1_m_05_1,448,DCA_se1_ag1_m_05,674.7835,"Sometimes he be on the movies,",676.4795,1
387.32,DCA,DCA_se1_ag1_m_05_1,1108,DCA_int_07,1743.0284,"someone's gonna fight, you know, be in a fight or something. You thought you were going to get hurt?",1745.8613,1
207.34,DCA,DCA_se1_ag1_m_07_1,699,DCA_se1_ag1_m_07,966.9346,"Except for, you know, little things, like, be coming through the line,",969.904,1
215.111,DCA,DCA_se1_ag1_m_07_1,725,DCA_se1_ag1_m_07,1008.2552,"Well you know, you call that your walk man, you know, like the person that you be with all the time.",1012.9036,1
4.347,DCA,DCA_se1_ag1_m_07_2,16,DCA_se1_ag1_m_07,24.7084,"[northwest], and you know, be young ladies there.",27.3978,1
152.315,DCA,DCA_se1_ag1_m_08_1,711,DCA_se1_ag1_m_08,862.3823,"When I be playing football out the Club, I have a",864.5133,1
1604,DCA,DCA_se1_ag1_m_08_1,752,DCA_se1_ag1_m_08,911.7113,He could just be hisself as long as he not a square.,914.2712,1
216.143,DCA,DCA_se1_ag1_m_08_1,910,DCA_se1_ag1_m_08,1128.6765,"But uh, it be out",1129.6883,1
240.311,DCA,DCA_se1_ag1_m_08_1,996,DCA_se1_ag1_m_08,1253.2916,"you know, when I be talking to the fellas, you know, I might",1255.5345,1
228.312,DCA,DCA_se1_ag2_m_01_1,976,DCA_se1_ag2_m_01,1285.1026,"Well, it- it be mixed up all kinds a way- everybody just-",1288.534,1
228.512,DCA,DCA_se1_ag2_m_01_1,978,DCA_se1_ag2_m_01,1288.7014,just be there having a good time. That's-,1290.3792,1
268.2,DCA,DCA_se1_ag2_m_01_1,1092,DCA_se1_ag2_m_01,1452.7769,people be all the way from Baltimore here.,1454.6447,1
168.1103,DCA,DCA_se1_ag3_f_02_1,850,DCA_se1_ag3_f_02,1306.3542,Well usually there would always be two or three that were trouble makers.,1309.9566,1
268.19,DCA,DCA_se1_ag3_m_01_1,1797,DCA_se1_ag3_m_01,1973.2611,"just be together all the time. I don't know where, what it was.",1976.2887,1
56.416,DCA,DCA_se1_ag4_m_02_1,147,DCA_se1_ag4_m_02,164.4888,"[all], like three be buddies.",166.1355,1
464.71,DCA,DCA_se1_ag4_m_02_1,1482,DCA_se1_ag4_m_02,1819.0714,"<hums> you might think I'm crazy in there, you know, cause I be humming to myself.",1823.8202,1
24.128,DCA,DCA_se2_ag1_f_01_1,98,DCA_se2_ag1_f_01,107.6818,"Like when somebody's mother sick we be on the front porch,",110.4364,1
103.31,DCA,DCA_se2_ag1_f_01_1,827,DCA_int_01,815.7012,How about when you be in school?,817.0616,1
149.218,DCA,DCA_se2_ag1_f_01_1,996,DCA_int_01,1013.7886,"Think if a teacher be nice to the kids, that the kids will-",1016.3112,1
41.514,DCA,DCA_se2_ag1_f_02_1,483,DCA_se2_ag1_f_02,464.4595,"And she was nice, and- and- and if you be nice to her and do good work, and go home and study instead of going outside- running outside,",469.8953,1
271.9,DCA,DCA_se2_ag1_f_02_1,1565,DCA_se2_ag1_f_02,1566.0431,I mean I be nervous- I be a nervous wreck!,1567.9957,1
32.123,DCA,DCA_se2_ag1_f_03_1,75,DCA_se2_ag1_f_03,97.3072,It be two captains,98.7379,1
34.359,DCA,DCA_se2_ag1_f_03_1,89,DCA_se2_ag1_f_03,110.9075,The big children let the smaller children be the captain.,113.4567,1
38.125,DCA,DCA_se2_ag1_f_03_1,103,DCA_se2_ag1_f_03,127.0746,"See, it be /some/ um-",128.5833,1
58.143,DCA,DCA_se2_ag1_f_03_1,172,DCA_se2_ag1_f_03,208.1933,"It be two teams,",209.3458,1
58.32,DCA,DCA_se2_ag1_f_03_1,174,DCA_se2_ag1_f_03,209.5699,and there be a net.,210.5072,1
164.318,DCA,DCA_se2_ag1_f_03_1,614,DCA_se2_ag1_f_03,702.5426,come back in and then you know it be all happy and stuff.,705.3662,1
35111,DCA,DCA_se2_ag1_f_03_1,1644,DCA_se2_ag1_f_03,1686.8415,Cause in the day I be over to church.,1688.7092,1
379.7,DCA,DCA_se2_ag1_f_03_1,1761,DCA_se2_ag1_f_03,1815.4596,"You know she be the um,",1816.5617,1
30.99,DCA,DCA_se2_ag1_f_04_1,132,DCA_se2_ag1_f_04,184.6308,"um- Like one person be polar bear,",187.2318,1
