RESPONSE,RACE_INT,SUBJECT,AGE,GENDER,DATE,TIMESTAMP,LINE
0,white,eductation,10,male,1999-04-10,00:05:23.320,"So that in that respect, when I was interested in something,"
0,white,eductation,10,male,1999-04-10,00:05:27.010,they would get books on it. They would get toys on it.
0,white,eductation,10,male,1999-04-10,00:05:27.010,they would get books on it. They would get toys on it.
0,white,eductation,10,male,1999-04-10,00:05:30.630,We would go to the museums to learn about it.
0,white,eductation,10,male,1999-04-10,00:05:33.070,They facilitated my needs.
0,white,eductation,10,male,1999-04-10,00:05:35.530,WINFREY:  They did?
0,white,eductation,10,male,1999-04-10,00:05:40.570,They're not laughing at you.  You know that.
0,white,eductation,10,male,1999-04-10,00:05:40.570,They're not laughing at you.  You know that.
0,white,eductation,10,male,1999-04-10,00:05:47.440,a--what I want to know is how does this work with
0,white,eductation,10,male,1999-04-10,00:05:51.510,"G. SMITH:  Yes, I do.  I--with the friends my own age,"
0,white,eductation,10,male,1999-04-10,00:05:59.980,WINFREY:  Like we saw on the tape.
0,white,eductation,10,male,1999-04-10,00:06:00.790,G. SMITH:  That is correct.
0,white,eductation,10,male,1999-04-10,00:06:04.690,G. SMITH:  That--that is correct.
0,white,eductation,10,male,1999-04-10,00:06:06.030,I--and that's what I do with them. I--we play board games.
0,white,eductation,10,male,1999-04-10,00:06:06.030,I--and that's what I do with them. I--we play board games.
0,white,eductation,10,male,1999-04-10,00:06:09.530,We go to the movies.
0,white,eductation,10,male,1999-04-10,00:06:11.900,We--I do lots of things with them that normal
0,white,eductation,10,male,1999-04-10,00:06:11.900,We--I do lots of things with them that normal
0,white,eductation,10,male,1999-04-10,00:06:11.900,We--I do lots of things with them that normal
0,white,eductation,10,male,1999-04-10,00:06:17.240,"though, with them?"
0,white,eductation,10,male,1999-04-10,00:06:17.240,"though, with them?"
0,white,eductation,10,male,1999-04-10,00:06:19.870,G. SMITH:  That is correct.
0,white,eductation,10,male,1999-04-10,00:06:20.610,I ta--I try to bend to what they like as long
0,white,eductation,10,male,1999-04-10,00:06:33.720,"WINFREY:  I understand--I've read that you like,"
0,white,eductation,10,male,1999-04-10,00:06:37.860,"Why do you think that you are the way you are,"
0,white,eductation,10,male,1999-04-10,00:06:37.860,"Why do you think that you are the way you are,"
